 Quarter , Client , New Client , Campaign , Channel , Client + Campaign + Channel , Campaign Budget , KPI Goal , KPI Type , KPI Target Value , CPM ,Impressions, Planned Campaign Reach , Maximum Reach to Maintain Performance , % of Maximum Campaign Reach Expected to Be Utilized , Signal Utilization (to total signals available) , Frequency , Last Updated , Note ,Enterprise?, Acct_ID ,COMMENTS, CLIENT_CODE , SUBACCOUNT , CAMPAIGN_TYPE , REMARKS 
Q2 2026,ADS Sephora CBCC (Li Exclusive),Bread,Sephora CBCC,LiveIntent,Bread Sephora CBCC LiveIntent," $2,14,875 ",CPIA $142,CPIx,$142, $7.50 ,53718750," 1,79,06,250 "," 1,79,06,250 ",,100%, 3 ,20-05-2026,,Enterprise,11796,,BREADFINANCIAL,SEPHORA_CBCC,LI,
Q2 2026,ADS Sephora PLCC (Li Exclusive),Bread,Sephora PLCC,LiveIntent,Bread Sephora PLCC LiveIntent," $71,625 ",CPIA $47,CPIx,$47, $7.50 ,17906250," 59,68,750 "," 59,68,750 ",,100%, 3 ,20-05-2026,,Enterprise,11796,,BREADFINANCIAL,SEPHORA_PLCC,LI,
Q2 2026,America's Tire,America's Tire,,Email,America's Tire Email," $75,000 ",CPIU $15,CPIU,$15 , $10.00 ," 75,00,000 "," 28,37,528 "," 1,00,00,000 ",,70%, 3 ,20-05-2026,,,,,AMERICAS_TIRE,CORE,EMAIL,
Q2 2026 ,Ashley Furniture Red,Ashley Furniture,Red,Email,Ashley Furniture Red Email," $7,00,000 ",IROAS $10,iROAS,$10, $10.00 ,70000000,"2,69,10,383","5,38,20,766", ,50%, 3 ,20-05-2026,,,10139,,ASHLEY_FURNITURE,RED,EMAIL,
Q2 2026 ,Ashley Furniture Yellow,Ashley Furniture,Yellow,Email,Ashley Furniture Yellow Email," $10,06,625 ",IROAS $10,iROAS,$10, $10.00 ,100662500,"3,84,82,838","6,99,68,796", ,55%, 3 ,20-05-2026,,Enterprise,10139,,ASHLEY_FURNITURE,CORE,EMAIL,
Q2 2026,AT&T +Wireless,AT&T,PlusWireless,Email,AT&T PlusWireless Email," $4,68,000 ",CPIS $500,CPIS,$500, $10.00 ,46800000," 31,49,394 "," 31,49,394 ",,100%, 15 ,03-06-2026,,Enterprise,8437,,ATT,NA,,2: MANUAL ACCOUNTS
Q2 2026,AT&T Dot Com Browse,AT&T,Dot Com Browse,Email,AT&T Dot Com Browse Email," $1,27,286 ",CPIS $500,CPIS,$500, $10.00 ,12728557," 42,42,852 "," 42,42,852 ",,100%, 3 ,03-06-2026,,Enterprise,11371,,ATT,NA,,2: MANUAL ACCOUNTS
Q2 2026,AT&T Signature,AT&T,Signiture,Email,AT&T Signiture Email," $11,50,000 ",CPIS $500,CPIS,$500, $10.00 ,115000000," 3,83,33,333 "," 3,83,33,333 ",,100%, 3 ,03-06-2026,,Enterprise,8437,,ATT,NA,,2: MANUAL ACCOUNTS
Q2 2026,AT&T Union,AT&T,Union,Email,AT&T Union Email," $1,45,000 ",CPIS $500,CPIS,$500, $10.00 ,145000000," 5,57,69,231 "," 5,57,69,231 ",,100%, 3 ,03-06-2026,,Enterprise,8437,,ATT,NA,,2: MANUAL ACCOUNTS
Q2 2026,AT&T Winback,AT&T,Winback,Email,AT&T Winback Email," $90,918 ",CPIS $500,CPIS,$500, $10.00 ,9091829," 9,09,183 "," 9,09,183 ",,100%, 10.00 ,20-05-2026,,Enterprise,8437,Match and mail campaign,ATT,NA,,2: MANUAL ACCOUNTS
Q2 2026,AT&T Winback,AT&T,Wireless,Email,AT&T Wireless Email," $16,00,161 ",CPIS $500,CPIS,$500, $10.00 ,160016117," 2,66,69,353 "," 6,11,47,924 ",,45%, 6 ,03-06-2026,,Enterprise,8437,,ATT,WIRELESS_DAILY,EMAIL,
Q2 2026,Back Country,Back Country,Competitive Cyclist,Email,Back Country Competitive Cyclist Email," $1,25,000 ",iROAS -  $6.00 ,iROAS,$6, $7.00 ,17857143," 70,87,134 "," 2,50,00,000 ",,40%, 3 ,20-05-2026,,Enterprise,11590,,BACK_COUNTRY,CORE,EMAIL,
Q2 2026,Discount Tire,Discount Tire,BFGoodrich,Email+LI,Discount Tire BFGoodrich Email+LI," $99,000 ",iROAS $5,iROAS,$7, $10.00 ," 99,00,000 "," 26,00,000 "," 86,66,667 ",,30%, 4 ,20-05-2026,,,10025,,DISCOUNT_TIRE,NA,,2: MANUAL ACCOUNTS
Q2 2026,Boost Mobile Prepaid Live intent,Boost Mobile,Prepaid,LiveIntent,Boost Mobile Prepaid LiveIntent," $12,00,000 ",CPIC<$100,CPIx,$80, $4.00 ,300000000,,,,, 24 ,20-05-2026,,Enterprise,5970,Overall signals is given in unified campaign,BOOST_MOBILE,PREPAID,EMAIL,
Q2 2026,Boost Mobile Unified,Boost Mobile,Unified,Email + LI,Boost Mobile Unified Email + LI," $40,00,000 ",CPIC $80,CPIx,$80, $9.00 ," 44,44,44,444 "," 14,81,48,148 "," 14,81,48,148 ",,100%, 3 ,20-05-2026,,Enterprise,5970,,BOOST_MOBILE,POSTPAID,EMAIL,
Q2 2026,Brandsmart,Brandsmart,,Email+LI,Brandsmart Email+LI," $1,00,000 ",IROAS $8,iROAS,$8, $10.00 ," 1,00,00,000 "," 7,01,081 "," 13,74,668 ",,51%, 8 ,20-05-2026,,,23,,BRANDSMART,CORE,INBOX_AD,
Q2 2026,Bread  Ross (store radius used),Bread,Ross,Email,Bread Ross Email," $3,00,000 ",CPIA $109,CPIx,$109, $7.50 ,40000000,"1,33,33,333","1,33,00,000", ,45%, 3 ,20-05-2026,,Enterprise,10267,,BREADFINANCIAL,ROSS,EMAIL,
Q2 2026,Bread AAA (Li Exclusive),Bread,AAA,LiveIntent,Bread AAA LiveIntent," $6,00,000 ",CPIA$151,CPIx,$151, $4.00 ,150000000," 5,00,00,000 "," 5,88,23,529 ",,85%, 4 ,20-05-2026,,,11368,,BREADFINANCIAL,AAA,LI,
Q2 2026,Bread- AMEX,Bread,Amex,Email,Bread Amex Email," $93,786 ",,,, $7.50 ,12504800," 41,68,267 "," 41,68,267 ",,100%, 3.00 ,20-05-2026,,,,Match and mail campaign,BREADFINANCIAL,NA,,2: MANUAL ACCOUNTS
Q2 2026,Bread Caesars(Li Exclusive),Bread,Caesars,LiveIntent,Bread Caesars LiveIntent," $1,12,500 ",CPIA$263,CPIx,$263, $4.00 ,28125000," 93,75,000 "," 2,67,85,714 ",,35%, 4 ,20-05-2026,,,19,,BREADFINANCIAL,CAESARS,EMAIL,
Q2 2026,Bread Dell Pay,Bread,Dell Play,Email,Bread Dell Play Email," $1,00,000 ",CPIA $152,CPIx,$152, $7.50 ,13333333.33," 44,44,444 "," 1,26,98,413 ",,35%, 3 ,20-05-2026,,Enterprise,12079,,BREADFINANCIAL,DELLPAY,EMAIL,
Q2 2026,Bread IKEA ,Bread,IKEA,Email,Bread IKEA Email," $82,571 ",CPIA $97,CPIx,$97, $7.50 ,11009466.67," 36,69,822 "," 36,69,822 ",,100%, 3 ,20-05-2026,,,11369,,BREADFINANCIAL,IKEA,EMAIL,
Q2 2026,Bread Jared ,Bread,Jared,Email,Bread Jared Email," $5,49,000 ",CPIA $203,CPIx,$203, $7.50 ,73200000,"2,44,00,000","2,44,00,000", ,100%, 3 ,20-05-2026,,Enterprise,8491,,BREADFINANCIAL,JARED,EMAIL,
Q2 2026,Bread Jared (Li Exclusive),Bread,Jared,LiveIntent,Bread Jared LiveIntent," $2,76,000 ",CPIA $203,CPIx,$203, $4.00 ,69000000," 98,57,143 ",9857143,,100%, 7 ,03-06-2026,,,8491,,BREADFINANCIAL,JARED,LI,
Q2 2026,Bread Kay (Li Exclusive),Bread,KAY,LiveIntent,Bread KAY LiveIntent," $3,22,750 ",CPIA$151,CPIx,$151, $4.00 ,80687500,"1,43,44,444","1,43,00,000", ,100%, 3 ,20-05-2026,,,8392,,BREADFINANCIAL,KAY,LI,
Q2 2026,Bread Kay (Store radius used),Bread,KAY,Email,Bread KAY Email," $9,06,000 ",CPIA $151,CPIx,$151, $7.50 ,120800000,"4,02,66,667"," 4,02,66,667 ", ,100%, 3 ,20-05-2026,,Enterprise,8392,,BREADFINANCIAL,KAY,EMAIL,
Q2 2026,Bread Sephora CBCC,Bread,Sephors CBCC,Email,Bread Sephors CBCC Email," $94,500 ",CPIA $142,CPIx,$142, $7.50 ,12600000," 42,00,000 "," 84,00,000 ",,50%, 3 ,20-05-2026,,Enterprise,11796,,BREADFINANCIAL,SEPHORA_CBCC,EMAIL,
Q2 2026,Bread Sephora PLCC,Bread,Sephora PLCC,Email,Bread Sephora PLCC Email," $31,500 ",CPIA $47,CPIx,$47, $7.50 ,4200000," 14,00,000 "," 35,00,000 ",,40%, 3 ,20-05-2026,,Enterprise,11796,,BREADFINANCIAL,SEPHORA_PLCC,EMAIL,
